datetimeisoformat;Ch1-S;Ch2-D;PC3;PE4
2022-03-29T04:27:05.769297+00:00;0.33;0.29;0.07;0.11;
2022-03-29T04:28:04.622307+00:00;0.30;0.54;0.05;0.11;
2022-03-29T04:29:05.124376+00:00;0.26;0.29;0.06;0.11;
2022-03-29T04:30:05.801122+00:00;0.31;0.29;0.03;0.11;
2022-03-29T04:31:04.910908+00:00;0.34;0.23;0.03;0.11;
2022-03-29T04:32:05.341589+00:00;0.29;0.29;0.05;0.10;
2022-03-29T04:33:05.990663+00:00;0.39;0.26;0.06;0.10;
2022-03-29T04:34:04.805396+00:00;0.31;0.27;0.05;0.10;
2022-03-29T04:35:05.427115+00:00;0.31;0.32;0.02;0.11;
2022-03-29T04:36:05.923395+00:00;0.33;0.26;0.05;0.09;
2022-03-29T04:37:05.209564+00:00;0.28;0.30;0.04;0.11;
2022-03-29T04:38:05.801097+00:00;0.28;0.30;0.06;0.11;
2022-03-29T04:39:04.872447+00:00;0.26;0.28;0.03;0.10;
2022-03-29T04:40:05.573568+00:00;0.30;0.26;0.02;0.10;
2022-03-29T04:41:06.156436+00:00;0.30;0.28;0.04;0.10;
2022-03-29T04:42:05.040509+00:00;0.27;0.25;0.02;0.11;
2022-03-29T04:43:05.373069+00:00;0.27;0.34;0.00;0.10;
2022-03-29T04:44:06.057498+00:00;0.27;0.30;0.04;0.10;
2022-03-29T04:45:05.934579+00:00;0.27;0.33;0.04;0.10;
2022-03-29T04:46:04.939664+00:00;0.31;0.28;0.04;0.11;
2022-03-29T04:47:05.520173+00:00;0.38;0.44;0.06;0.14;
2022-03-29T04:48:06.026312+00:00;0.33;0.26;0.04;0.10;
2022-03-29T04:49:04.882938+00:00;0.29;0.38;0.03;0.14;
2022-03-29T04:50:05.316080+00:00;0.30;0.26;0.05;0.09;
2022-03-29T04:51:04.650341+00:00;0.28;0.34;0.02;0.09;
2022-03-29T04:52:05.168692+00:00;0.30;0.25;0.04;0.13;
2022-03-29T04:53:05.187406+00:00;0.28;0.26;0.03;0.09;
2022-03-29T04:54:05.994643+00:00;0.30;0.29;0.04;0.10;
2022-03-29T04:55:04.999474+00:00;0.33;0.27;0.08;0.12;
2022-03-29T04:56:05.527115+00:00;0.31;0.28;0.03;0.10;
2022-03-29T04:57:04.910127+00:00;0.33;0.29;0.06;0.12;
2022-03-29T04:58:05.451996+00:00;0.44;0.26;0.04;0.11;
2022-03-29T04:59:05.998636+00:00;0.35;0.30;0.05;0.12;
2022-03-29T05:00:04.928207+00:00;0.33;0.27;0.06;0.13;
2022-03-29T05:01:05.383520+00:00;0.31;0.28;0.07;0.13;
2022-03-29T05:02:06.082470+00:00;0.38;0.31;0.06;0.13;
2022-03-29T05:03:05.086316+00:00;0.34;0.30;0.06;0.11;
2022-03-29T05:04:05.511885+00:00;0.29;0.30;0.03;0.09;
2022-03-29T05:05:06.054841+00:00;0.36;0.26;0.01;0.11;
2022-03-29T05:06:04.947870+00:00;0.38;0.25;0.05;0.12;
2022-03-29T05:07:05.448201+00:00;0.40;0.32;0.04;0.13;
2022-03-29T05:08:05.921003+00:00;0.28;0.26;0.07;0.10;
2022-03-29T05:09:04.774859+00:00;0.31;0.28;0.06;0.12;
2022-03-29T05:10:05.380897+00:00;0.36;0.35;0.03;0.11;
2022-03-29T05:11:05.878201+00:00;0.33;0.28;0.02;0.10;
2022-03-29T05:12:04.710564+00:00;0.32;0.28;0.07;0.10;
2022-03-29T05:13:05.263851+00:00;0.38;0.26;0.06;0.14;
2022-03-29T05:14:05.861679+00:00;0.46;0.28;0.03;0.16;
2022-03-29T05:15:04.702583+00:00;0.33;0.29;0.05;0.12;
2022-03-29T05:16:05.161294+00:00;0.36;0.26;0.03;0.13;
2022-03-29T05:17:05.619915+00:00;0.34;0.36;0.03;0.12;
2022-03-29T05:18:06.078645+00:00;0.32;0.29;0.06;0.11;
2022-03-29T05:19:04.926753+00:00;0.31;0.35;0.02;0.12;
2022-03-29T05:20:05.376944+00:00;0.29;0.33;0.03;0.11;
2022-03-29T05:21:05.890668+00:00;0.33;0.31;0.04;0.11;
2022-03-29T05:22:04.749193+00:00;0.30;0.28;0.04;0.12;
2022-03-29T05:23:05.526472+00:00;0.30;0.27;0.07;0.10;
2022-03-29T05:24:06.161346+00:00;0.34;0.28;0.04;0.12;
2022-03-29T05:25:05.230102+00:00;0.34;0.33;0.07;0.13;
2022-03-29T05:26:05.737373+00:00;0.30;0.29;0.05;0.10;
2022-03-29T05:27:06.215731+00:00;0.34;0.55;0.06;0.11;
2022-03-29T05:28:05.153118+00:00;0.33;0.27;0.02;0.11;
2022-03-29T05:29:05.720029+00:00;0.35;0.32;0.03;0.11;
2022-03-29T05:30:06.116698+00:00;0.37;0.27;0.02;0.12;
2022-03-29T05:31:04.982755+00:00;0.30;0.31;0.05;0.13;
2022-03-29T05:32:05.403496+00:00;0.33;0.25;0.03;0.11;
2022-03-29T05:33:06.010363+00:00;0.30;0.31;0.03;0.11;
