datetimeisoformat,Ch1-S,Ch2-D,PC3,PE4
2022-03-21T18:24:18.442479+00:00,0.38,0.31,0.04,0.1
2022-03-21T18:24:28.419378+00:00,0.37,0.34,0.04,0.12
2022-03-21T18:24:38.287737+00:00,0.33,0.25,0.05,0.12
2022-03-21T18:24:48.194146+00:00,0.41,0.27,0.03,0.11
2022-03-21T18:24:58.146184+00:00,0.37,0.24,0.03,0.11
2022-03-21T18:25:07.855163+00:00,0.33,0.24,0.04,0.13
2022-03-21T18:25:17.715753+00:00,0.38,0.28,0.04,0.11
2022-03-21T18:25:29.198676+00:00,0.37,0.28,0.04,0.12
2022-03-21T18:25:39.079646+00:00,0.39,0.28,0.04,0.11
2022-03-21T18:25:48.945948+00:00,0.37,0.26,0.04,0.1
2022-03-21T18:25:58.794941+00:00,0.33,0.23,0.07,0.15
2022-03-21T18:26:08.730817+00:00,0.36,0.31,0.04,0.12
2022-03-21T18:26:18.677498+00:00,0.38,0.27,0.06,0.11
2022-03-21T18:26:28.713895+00:00,0.36,0.36,0.06,0.12
2022-03-21T18:26:38.604647+00:00,0.35,0.25,0.02,0.11
2022-03-21T18:26:48.484325+00:00,0.44,0.25,0.04,0.11
2022-03-21T18:26:58.407539+00:00,0.34,0.23,0.05,0.12
2022-03-21T18:27:08.280492+00:00,0.36,0.32,0.07,0.12
2022-03-21T18:27:18.170041+00:00,0.36,0.23,0.06,0.1
2022-03-21T18:27:28.081885+00:00,0.37,0.24,0.06,0.11
2022-03-21T18:27:37.986484+00:00,0.38,0.26,0.02,0.1
2022-03-21T18:27:47.894917+00:00,0.41,0.29,0.06,0.1
2022-03-21T18:27:57.758138+00:00,0.38,0.24,0.04,0.11
2022-03-21T18:28:09.217204+00:00,0.44,0.26,0.04,0.11
2022-03-21T18:28:19.102314+00:00,0.34,0.24,0.06,0.13
2022-03-21T18:28:29.023035+00:00,0.39,0.24,0.05,0.1
2022-03-21T18:28:38.898871+00:00,0.37,0.29,0.06,0.1
2022-03-21T18:28:48.847858+00:00,0.4,0.27,0.03,0.11
2022-03-21T18:28:58.712172+00:00,0.39,0.25,0.05,0.1
2022-03-21T18:29:08.585609+00:00,0.4,0.31,0.07,0.1
2022-03-21T18:29:18.479201+00:00,0.38,0.27,0.05,0.11
2022-03-21T18:29:28.431755+00:00,0.36,0.21,0.04,0.11
2022-03-21T18:29:38.329664+00:00,0.36,0.25,0.09,0.12
2022-03-21T18:29:48.215590+00:00,0.38,0.26,0.04,0.12
2022-03-21T18:29:58.099144+00:00,0.35,0.28,0.04,0.11
2022-03-21T18:30:08.024707+00:00,0.4,0.43,0.06,0.11
2022-03-21T18:30:17.876098+00:00,0.38,0.27,0.04,0.13
2022-03-21T18:30:27.789633+00:00,0.36,0.27,0.01,0.11
2022-03-21T18:30:37.704590+00:00,0.38,0.26,0.03,0.11
2022-03-21T18:30:49.181738+00:00,0.37,0.31,0.05,0.12
2022-03-21T18:30:59.066537+00:00,0.52,0.24,0.07,0.1
2022-03-21T18:31:08.932968+00:00,0.39,0.29,0.09,0.12
2022-03-21T18:31:18.786376+00:00,0.39,0.29,0.06,0.09
2022-03-21T18:31:28.665777+00:00,0.38,0.23,0.02,0.11
2022-03-21T18:31:38.567850+00:00,0.39,0.28,0.05,0.11
2022-03-21T18:31:48.460002+00:00,0.38,0.27,0.06,0.12
2022-03-21T18:31:58.310289+00:00,0.35,0.28,0.05,0.14
2022-03-21T18:32:08.178199+00:00,0.35,0.22,0.07,0.13
2022-03-21T18:32:18.036784+00:00,0.36,0.32,0.06,0.12
2022-03-21T18:32:27.928263+00:00,0.46,0.26,0.06,0.12
2022-03-21T18:32:37.833767+00:00,0.38,0.25,0.06,0.1
2022-03-21T18:32:47.723475+00:00,0.41,0.35,0.09,0.15
2022-03-21T18:32:59.218080+00:00,0.39,0.27,0.07,0.1
2022-03-21T18:33:09.120581+00:00,0.43,0.37,0.1,0.12
2022-03-21T18:33:18.982810+00:00,0.38,0.26,0.04,0.1
2022-03-21T18:33:28.893835+00:00,0.38,0.28,0.04,0.12
2022-03-21T18:33:38.781555+00:00,0.37,0.29,0.05,0.14
2022-03-21T18:33:48.693226+00:00,0.37,0.27,0.06,0.1
